phase_name,phase_idx,step,state,action,action_name,reward,next_state
pre-drug,0,1,3,7,ad,0.0,3
pre-drug,0,2,3,4,as6,0.0,3
pre-drug,0,3,3,2,as4,0.0,3
pre-drug,0,4,3,3,as5,0.0,4
pre-drug,0,5,4,1,as3,0.0,4
pre-drug,0,6,4,4,as6,0.0,5
pre-drug,0,7,5,8,aw,0.0,5
pre-drug,0,8,5,8,aw,0.0,5
pre-drug,0,9,5,5,as7,0.0,6
pre-drug,0,10,6,8,aw,0.0,6
pre-drug,0,11,6,3,as5,0.0,6
pre-drug,0,12,6,8,aw,0.0,6
pre-drug,0,13,6,4,as6,0.0,5
pre-drug,0,14,5,4,as6,0.0,5
pre-drug,0,15,5,1,as3,0.0,5
pre-drug,0,16,5,2,as4,0.0,5
pre-drug,0,17,5,0,as2,0.0,5
pre-drug,0,18,5,2,as4,0.0,5
pre-drug,0,19,5,3,as5,0.0,4
pre-drug,0,20,4,1,as3,0.0,4
pre-drug,0,21,4,4,as6,0.0,5
pre-drug,0,22,5,3,as5,0.0,4
pre-drug,0,23,4,0,as2,0.0,4
pre-drug,0,24,4,3,as5,0.0,4
pre-drug,0,25,4,2,as4,0.0,3
pre-drug,0,26,3,4,as6,0.0,3
pre-drug,0,27,3,1,as3,0.0,2
pre-drug,0,28,2,8,aw,0.0,2
pre-drug,0,29,2,7,ad,0.0,2
pre-drug,0,30,2,8,aw,0.0,2
pre-drug,0,31,2,0,as2,0.0,1
pre-drug,0,32,1,7,ad,0.0,1
pre-drug,0,33,1,1,as3,0.0,2
pre-drug,0,34,2,8,aw,0.0,2
pre-drug,0,35,2,2,as4,0.0,3
pre-drug,0,36,3,5,as7,0.0,3
pre-drug,0,37,3,3,as5,0.0,4
pre-drug,0,38,4,4,as6,0.0,5
pre-drug,0,39,5,4,as6,0.0,5
pre-drug,0,40,5,4,as6,0.0,5
pre-drug,0,41,5,6,ag,0.0,5
pre-drug,0,42,5,5,as7,0.0,6
pre-drug,0,43,6,8,aw,0.0,6
pre-drug,0,44,6,0,as2,0.0,6
pre-drug,0,45,6,7,ad,0.0,7
pre-drug,0,46,7,6,ag,-0.3,7
pre-drug,0,47,7,0,as2,-0.3,7
pre-drug,0,48,7,8,aw,-0.3,8
pre-drug,0,49,8,1,as3,-0.3,8
pre-drug,0,50,8,3,as5,-0.3,8
addiction,1,1,8,7,ad,-1.2,9
addiction,1,2,9,1,as3,-1.2,9
addiction,1,3,9,4,as6,-1.2,9
addiction,1,4,9,7,ad,-1.2,10
addiction,1,5,10,6,ag,-1.2,10
addiction,1,6,10,4,as6,-1.2,10
addiction,1,7,10,0,as2,-1.2,10
addiction,1,8,10,3,as5,-1.2,10
addiction,1,9,10,7,ad,-1.2,11
addiction,1,10,11,4,as6,-1.2,11
addiction,1,11,11,7,ad,-1.2,12
addiction,1,12,12,3,as5,-1.2,12
addiction,1,13,12,2,as4,-1.2,12
addiction,1,14,12,0,as2,-1.2,12
addiction,1,15,12,4,as6,-1.2,12
addiction,1,16,12,6,ag,-1.2,12
addiction,1,17,12,8,aw,-1.2,11
addiction,1,18,11,2,as4,-1.2,11
addiction,1,19,11,1,as3,-1.2,11
addiction,1,20,11,3,as5,-1.2,11
addiction,1,21,11,8,aw,-1.2,10
addiction,1,22,10,2,as4,-1.2,10
addiction,1,23,10,1,as3,-1.2,10
addiction,1,24,10,5,as7,-1.2,10
addiction,1,25,10,8,aw,-1.2,9
addiction,1,26,9,6,ag,-1.2,9
addiction,1,27,9,5,as7,-1.2,9
addiction,1,28,9,7,ad,-1.2,10
addiction,1,29,10,8,aw,-1.2,9
addiction,1,30,9,8,aw,-1.2,10
addiction,1,31,10,7,ad,-1.2,11
addiction,1,32,11,6,ag,-1.2,11
addiction,1,33,11,5,as7,-1.2,11
addiction,1,34,11,0,as2,-1.2,11
addiction,1,35,11,7,ad,-1.2,12
addiction,1,36,12,1,as3,-1.2,12
addiction,1,37,12,5,as7,-1.2,12
addiction,1,38,12,7,ad,-1.2,13
addiction,1,39,13,5,as7,-1.2,13
addiction,1,40,13,2,as4,-1.2,13
addiction,1,41,13,1,as3,-1.2,13
addiction,1,42,13,3,as5,-1.2,13
addiction,1,43,13,7,ad,-1.2,12
addiction,1,44,12,7,ad,-1.2,11
addiction,1,45,11,8,aw,-1.2,12
addiction,1,46,12,7,ad,-1.2,11
addiction,1,47,11,8,aw,-1.2,12
addiction,1,48,12,7,ad,-1.2,13
addiction,1,49,13,4,as6,-1.2,13
addiction,1,50,13,6,ag,-1.2,13
addiction,1,51,13,0,as2,-1.2,13
addiction,1,52,13,8,aw,-1.2,12
addiction,1,53,12,7,ad,-1.2,13
addiction,1,54,13,7,ad,-1.2,14
addiction,1,55,14,3,as5,-1.2,14
addiction,1,56,14,6,ag,-1.2,14
addiction,1,57,14,2,as4,-1.2,14
addiction,1,58,14,1,as3,-1.2,14
addiction,1,59,14,4,as6,-1.2,14
addiction,1,60,14,5,as7,-1.2,14
addiction,1,61,14,8,aw,-1.2,14
addiction,1,62,14,4,as6,-1.2,14
addiction,1,63,14,0,as2,-1.2,14
addiction,1,64,14,6,ag,-1.2,14
addiction,1,65,14,7,ad,-1.2,15
addiction,1,66,15,2,as4,-1.2,15
addiction,1,67,15,6,ag,-1.2,15
addiction,1,68,15,1,as3,-1.2,15
addiction,1,69,15,8,aw,-1.2,14
addiction,1,70,14,7,ad,-1.2,15
addiction,1,71,15,4,as6,-1.2,15
addiction,1,72,15,3,as5,-1.2,15
addiction,1,73,15,7,ad,-1.2,16
addiction,1,74,16,6,ag,-1.2,16
addiction,1,75,16,5,as7,-1.2,16
addiction,1,76,16,8,aw,-1.2,15
addiction,1,77,15,0,as2,-1.2,15
addiction,1,78,15,5,as7,-1.2,15
addiction,1,79,15,7,ad,-1.2,16
addiction,1,80,16,7,ad,-1.2,17
