phase_name,phase_idx,step,state,action,action_name,reward,next_state
pre-drug,0,1,3,5,as7,0.0,3
pre-drug,0,2,3,3,as5,0.0,4
pre-drug,0,3,4,6,ag,0.0,4
pre-drug,0,4,4,6,ag,0.0,4
pre-drug,0,5,4,7,ad,0.0,4
pre-drug,0,6,4,4,as6,0.0,5
pre-drug,0,7,5,3,as5,0.0,4
pre-drug,0,8,4,7,ad,0.0,4
pre-drug,0,9,4,7,ad,0.0,4
pre-drug,0,10,4,0,as2,0.0,4
pre-drug,0,11,4,6,ag,0.0,4
pre-drug,0,12,4,3,as5,0.0,4
pre-drug,0,13,4,6,ag,0.0,4
pre-drug,0,14,4,7,ad,0.0,4
pre-drug,0,15,4,4,as6,0.0,5
pre-drug,0,16,5,0,as2,0.0,5
pre-drug,0,17,5,3,as5,0.0,4
pre-drug,0,18,4,2,as4,0.0,3
pre-drug,0,19,3,6,ag,0.0,3
pre-drug,0,20,3,4,as6,0.0,3
pre-drug,0,21,3,1,as3,0.0,2
pre-drug,0,22,2,7,ad,0.0,2
pre-drug,0,23,2,3,as5,0.0,2
pre-drug,0,24,2,7,ad,0.0,2
pre-drug,0,25,2,5,as7,0.0,2
pre-drug,0,26,2,1,as3,0.0,2
pre-drug,0,27,2,7,ad,0.0,2
pre-drug,0,28,2,5,as7,0.0,2
pre-drug,0,29,2,4,as6,0.0,2
pre-drug,0,30,2,5,as7,0.0,2
pre-drug,0,31,2,7,ad,0.0,2
pre-drug,0,32,2,5,as7,0.0,2
pre-drug,0,33,2,0,as2,0.0,1
pre-drug,0,34,1,5,as7,0.0,1
pre-drug,0,35,1,2,as4,0.0,1
pre-drug,0,36,1,3,as5,0.0,1
pre-drug,0,37,1,8,aw,0.0,1
pre-drug,0,38,1,2,as4,0.0,1
pre-drug,0,39,1,8,aw,0.0,1
pre-drug,0,40,1,5,as7,0.0,1
pre-drug,0,41,1,3,as5,0.0,1
pre-drug,0,42,1,0,as2,0.0,1
pre-drug,0,43,1,6,ag,0.0,0
pre-drug,0,44,0,1,as3,0.0,0
pre-drug,0,45,0,4,as6,0.0,0
pre-drug,0,46,0,6,ag,1.0,3
pre-drug,0,47,3,2,as4,0.0,3
pre-drug,0,48,3,1,as3,0.0,2
pre-drug,0,49,2,2,as4,0.0,3
pre-drug,0,50,3,3,as5,0.0,4
addiction,1,1,4,8,aw,0.0,4
addiction,1,2,4,2,as4,0.0,3
addiction,1,3,3,1,as3,0.0,2
addiction,1,4,2,0,as2,0.0,1
addiction,1,5,1,6,ag,0.0,0
addiction,1,6,0,6,ag,1.0,3
addiction,1,7,3,6,ag,0.0,3
addiction,1,8,3,1,as3,0.0,2
addiction,1,9,2,0,as2,0.0,1
addiction,1,10,1,6,ag,0.0,0
addiction,1,11,0,6,ag,1.0,3
addiction,1,12,3,1,as3,0.0,2
addiction,1,13,2,0,as2,0.0,1
addiction,1,14,1,6,ag,0.0,0
addiction,1,15,0,2,as4,0.0,0
addiction,1,16,0,6,ag,1.0,3
addiction,1,17,3,1,as3,0.0,2
addiction,1,18,2,0,as2,0.0,1
addiction,1,19,1,6,ag,0.0,0
addiction,1,20,0,6,ag,1.0,3
addiction,1,21,3,1,as3,0.0,2
addiction,1,22,2,0,as2,0.0,1
addiction,1,23,1,6,ag,0.0,0
