phase_name,phase_idx,step,state,action,action_name,reward,next_state
pre-drug,0,1,3,7,ad,0.0,3
pre-drug,0,2,3,0,as2,0.0,3
pre-drug,0,3,3,5,as7,0.0,3
pre-drug,0,4,3,6,ag,0.0,3
pre-drug,0,5,3,4,as6,0.0,3
pre-drug,0,6,3,5,as7,0.0,3
pre-drug,0,7,3,4,as6,0.0,3
pre-drug,0,8,3,5,as7,0.0,3
pre-drug,0,9,3,4,as6,0.0,3
pre-drug,0,10,3,4,as6,0.0,3
pre-drug,0,11,3,6,ag,0.0,3
pre-drug,0,12,3,7,ad,0.0,3
pre-drug,0,13,3,1,as3,0.0,2
pre-drug,0,14,2,4,as6,0.0,2
pre-drug,0,15,2,5,as7,0.0,2
pre-drug,0,16,2,4,as6,0.0,2
pre-drug,0,17,2,6,ag,0.0,2
pre-drug,0,18,2,1,as3,0.0,2
pre-drug,0,19,2,5,as7,0.0,2
pre-drug,0,20,2,5,as7,0.0,2
pre-drug,0,21,2,3,as5,0.0,2
pre-drug,0,22,2,3,as5,0.0,2
pre-drug,0,23,2,0,as2,0.0,1
pre-drug,0,24,1,5,as7,0.0,1
pre-drug,0,25,1,8,aw,0.0,1
pre-drug,0,26,1,8,aw,0.0,1
pre-drug,0,27,1,6,ag,0.0,0
pre-drug,0,28,0,7,ad,0.0,0
pre-drug,0,29,0,3,as5,0.0,0
pre-drug,0,30,0,1,as3,0.0,0
pre-drug,0,31,0,6,ag,1.0,3
pre-drug,0,32,3,1,as3,0.0,2
pre-drug,0,33,2,7,ad,0.0,2
pre-drug,0,34,2,0,as2,0.0,1
pre-drug,0,35,1,8,aw,0.0,1
pre-drug,0,36,1,4,as6,0.0,1
pre-drug,0,37,1,6,ag,0.0,0
pre-drug,0,38,0,6,ag,1.0,3
pre-drug,0,39,3,0,as2,0.0,3
pre-drug,0,40,3,3,as5,0.0,4
pre-drug,0,41,4,5,as7,0.0,4
pre-drug,0,42,4,8,aw,0.0,4
pre-drug,0,43,4,4,as6,0.0,5
pre-drug,0,44,5,1,as3,0.0,5
pre-drug,0,45,5,6,ag,0.0,5
pre-drug,0,46,5,0,as2,0.0,5
pre-drug,0,47,5,7,ad,0.0,5
pre-drug,0,48,5,5,as7,0.0,6
pre-drug,0,49,6,8,aw,0.0,6
pre-drug,0,50,6,2,as4,0.0,6
addiction,1,1,6,3,as5,0.0,6
addiction,1,2,6,6,ag,0.0,6
addiction,1,3,6,4,as6,0.0,5
addiction,1,4,5,6,ag,0.0,5
addiction,1,5,5,6,ag,0.0,5
addiction,1,6,5,4,as6,0.0,5
addiction,1,7,5,1,as3,0.0,5
addiction,1,8,5,2,as4,0.0,5
addiction,1,9,5,0,as2,0.0,5
addiction,1,10,5,4,as6,0.0,5
addiction,1,11,5,5,as7,0.0,6
addiction,1,12,6,8,aw,0.0,6
addiction,1,13,6,3,as5,0.0,6
addiction,1,14,6,4,as6,0.0,5
addiction,1,15,5,4,as6,0.0,5
addiction,1,16,5,8,aw,0.0,5
addiction,1,17,5,1,as3,0.0,5
addiction,1,18,5,6,ag,0.0,5
addiction,1,19,5,3,as5,0.0,4
addiction,1,20,4,2,as4,0.0,3
addiction,1,21,3,2,as4,0.0,3
addiction,1,22,3,6,ag,0.0,3
addiction,1,23,3,4,as6,0.0,3
addiction,1,24,3,7,ad,0.0,3
addiction,1,25,3,1,as3,0.0,2
addiction,1,26,2,0,as2,0.0,1
addiction,1,27,1,6,ag,0.0,0
addiction,1,28,0,6,ag,1.0,3
addiction,1,29,3,1,as3,0.0,2
addiction,1,30,2,0,as2,0.0,1
addiction,1,31,1,6,ag,0.0,0
addiction,1,32,0,6,ag,1.0,3
addiction,1,33,3,1,as3,0.0,2
addiction,1,34,2,0,as2,0.0,1
addiction,1,35,1,6,ag,0.0,0
